comparison,metric,observed_delta,ci_low,ci_high,n_clusters,n_boot
Behavior + NIR minus Behavior,roc_auc,0.032987312572087646,-0.0051103921692077225,0.07502941387937447,47,1000
Behavior + NIR minus Behavior,balanced_accuracy,0.014298281625711118,-0.012307004097282623,0.041695338033295205,47,1000
Behavior + NIR minus Behavior,f1,-0.01931974233313849,-0.049463208449485305,0.005389696518606972,47,1000
Behavior + NIR minus Behavior,sensitivity,-0.04406779661016946,-0.09080398308600687,-0.0032123765142088177,47,1000
Behavior + NIR minus Behavior,specificity,0.0726643598615917,0.026428819846974247,0.1197712747581759,47,1000
