n,roc_auc,balanced_accuracy,f1,sensitivity,specificity,model,feature_count,participant_clusters
1174,0.5659218423161887,0.5707133501456415,0.7664531158998252,0.7435028248587571,0.39792387543252594,Behavior,11,47
1174,0.5989091548882763,0.5850116317713526,0.7471333735666867,0.6994350282485876,0.47058823529411764,Behavior + NIR,14,47
1174,0.5714151662659082,0.5505464000156393,0.6649248856956238,0.5751412429378531,0.5259515570934256,Behavior + mmWave,40,47
1174,0.5803295994369831,0.5688718159247748,0.6775244299674267,0.5875706214689266,0.5501730103806228,Behavior + mmWave + NIR,43,47
