subject,block,backend,sequence_id,eye,frame_offset,frame_idx,unix_ms,face_detected,face_status,roi_status,image_status,error_code,roi_path,source_width,source_height,source_to_roi_affine,roi_to_source_affine,roi_corners_source,normalized_canthi,canthi_source,reference_kind,locator_box_source,reference_points_source,normalized_reference_points,ear,baseline_open_ear,openness,visible_proxy,p80_closed_proxy,visibility_source
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,0,9441,1786791952687,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,0,9441,1786791952687,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,1,9442,1786791952693,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,1,9442,1786791952693,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,2,9443,1786791952734,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,2,9443,1786791952734,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,3,9444,1786791952769,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,3,9444,1786791952769,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,4,9445,1786791952815,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,4,9445,1786791952815,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,5,9446,1786791952847,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,5,9446,1786791952847,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,6,9447,1786791952855,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,6,9447,1786791952855,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,7,9448,1786791952895,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,7,9448,1786791952895,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,8,9449,1786791952926,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,8,9449,1786791952926,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,9,9450,1786791952974,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,9,9450,1786791952974,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,10,9451,1786791953006,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,10,9451,1786791953006,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,11,9452,1786791953015,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,11,9452,1786791953015,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,12,9453,1786791953087,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,12,9453,1786791953087,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,13,9454,1786791953095,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,13,9454,1786791953095,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,14,9455,1786791953134,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,14,9455,1786791953134,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,15,9456,1786791953165,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,15,9456,1786791953165,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,16,9457,1786791953213,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,16,9457,1786791953213,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,17,9458,1786791953246,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,17,9458,1786791953246,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,18,9459,1786791953252,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,18,9459,1786791953252,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,19,9460,1786791953295,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,19,9460,1786791953295,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,20,9461,1786791953327,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,20,9461,1786791953327,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,21,9462,1786791953374,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,21,9462,1786791953374,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,22,9463,1786791953408,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,22,9463,1786791953408,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,23,9464,1786791953414,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,23,9464,1786791953414,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,24,9465,1786791953488,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,24,9465,1786791953488,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,25,9466,1786791953496,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,25,9466,1786791953496,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,26,9467,1786791953537,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,26,9467,1786791953537,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,27,9468,1786791953565,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,27,9468,1786791953565,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,28,9469,1786791953613,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,28,9469,1786791953613,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,29,9470,1786791953646,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,29,9470,1786791953646,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,30,9471,1786791953652,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,30,9471,1786791953652,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,31,9472,1786791953693,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,31,9472,1786791953693,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,32,9473,1786791953726,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_left,32,9473,1786791953726,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,yunet-span500,sub-011_-s1,eye_right,33,9474,1786791953780,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
