sequence_id,frame_offset,frame_idx,unix_ms,decode_ms,inference_ms,crop_normalize_ms,roi_only_ms,end_to_end_ms,valid_eye_rois,image_status
sub-011_-s1,0,9441,1786791952687,11.401299998397008,77.66160000755917,0.0,77.66160000755917,89.16540000063833,0,ok
sub-011_-s1,1,9442,1786791952693,6.38789999356959,58.780499995918944,0.0,58.780499995918944,65.23019999440294,0,ok
sub-011_-s1,2,9443,1786791952734,6.000299996230751,58.97690000711009,0.0,58.97690000711009,65.08809998922516,0,ok
sub-011_-s1,3,9444,1786791952769,6.3993999938247725,58.58569999691099,0.0,58.58569999691099,65.03829998837318,0,ok
sub-011_-s1,4,9445,1786791952815,6.851100013591349,59.11760000162758,0.0,59.11760000162758,66.02809998730663,0,ok
sub-011_-s1,5,9446,1786791952847,6.540300004417077,53.877600003033876,0.0,53.877600003033876,60.477500010165386,0,ok
sub-011_-s1,6,9447,1786791952855,5.904899997403845,52.160000006551854,0.0,52.160000006551854,58.12299999524839,0,ok
sub-011_-s1,7,9448,1786791952895,6.029500000295229,50.36019999533892,0.0,50.36019999533892,56.44800000300165,0,ok
sub-011_-s1,8,9449,1786791952926,6.149900000309572,51.28659999172669,0.0,51.28659999172669,57.49710000236519,0,ok
sub-011_-s1,9,9450,1786791952974,6.058400002075359,51.05779999576043,0.0,51.05779999576043,57.1739000006346,0,ok
sub-011_-s1,10,9451,1786791953006,5.9994000039296225,51.49420000088867,0.0,51.49420000088867,57.55370001133997,0,ok
sub-011_-s1,11,9452,1786791953015,6.1772999906679615,50.74379999132361,0.0,50.74379999132361,56.98300000221934,0,ok
sub-011_-s1,12,9453,1786791953087,5.926400001044385,57.43829999119043,0.0,57.43829999119043,63.42350000340957,0,ok
sub-011_-s1,13,9454,1786791953095,5.98119999631308,55.70939999597613,0.0,55.70939999597613,61.74760000430979,0,ok
sub-011_-s1,14,9455,1786791953134,6.04199999361299,56.94039999798406,0.0,56.94039999798406,63.04209999507293,0,ok
sub-011_-s1,15,9456,1786791953165,5.84050000179559,55.045199987944216,0.0,55.045199987944216,60.97609999414999,0,ok
sub-011_-s1,16,9457,1786791953213,5.848500004503876,53.41469999984838,0.0,53.41469999984838,59.32169999869075,0,ok
sub-011_-s1,17,9458,1786791953246,5.970300000626594,55.65749999368563,0.0,55.65749999368563,61.68780000007246,0,ok
sub-011_-s1,18,9459,1786791953252,5.8659000060288236,53.57949998870026,0.0,53.57949998870026,59.507000012672506,0,ok
sub-011_-s1,19,9460,1786791953295,6.808500009356067,58.83919999178033,0.0,58.83919999178033,65.70360000478104,0,ok
sub-011_-s1,20,9461,1786791953327,6.508400008897297,56.362500006798655,0.0,56.362500006798655,62.92750001011882,0,ok
sub-011_-s1,21,9462,1786791953374,6.55239999468904,64.05369999993127,0.0,64.05369999993127,70.66219999978784,0,ok
sub-011_-s1,22,9463,1786791953408,6.8143000098643824,76.114299998153,0.0,76.114299998153,82.9820000071777,0,ok
sub-011_-s1,23,9464,1786791953414,6.318700005067512,54.536499999812804,0.0,54.536499999812804,60.913799999980256,0,ok
sub-011_-s1,24,9465,1786791953488,6.117400000221096,57.959600002504885,0.0,57.959600002504885,64.14109999604989,0,ok
sub-011_-s1,25,9466,1786791953496,6.161199999041855,56.85850000008941,0.0,56.85850000008941,63.07550000201445,0,ok
sub-011_-s1,26,9467,1786791953537,6.361699997796677,58.685700001660734,0.0,58.685700001660734,65.10190000699367,0,ok
sub-011_-s1,27,9468,1786791953565,6.332599994493648,59.01339999400079,0.0,59.01339999400079,65.41170000855345,0,ok
sub-011_-s1,28,9469,1786791953613,6.905200003529899,60.32330000016373,0.0,60.32330000016373,67.28480001038406,0,ok
sub-011_-s1,29,9470,1786791953646,6.197299997438677,61.59160000970587,0.0,61.59160000970587,67.84229999175295,0,ok
sub-011_-s1,30,9471,1786791953652,5.687199998646975,58.330799991381355,0.0,58.330799991381355,64.07239999680314,0,ok
sub-011_-s1,31,9472,1786791953693,5.946000004769303,58.95279999822378,0.0,58.95279999822378,64.94999999995343,0,ok
sub-011_-s1,32,9473,1786791953726,6.149099994217977,57.46729999373201,0.0,57.46729999373201,63.674999997601844,0,ok
sub-011_-s1,33,9474,1786791953780,6.429999993997626,51.53250000148546,0.0,51.53250000148546,58.025599995744415,0,ok
sub-011_-s1,34,9475,1786791953805,5.9560000081546605,52.97239999345038,0.0,52.97239999345038,58.99119999958202,0,ok
sub-011_-s1,35,9476,1786791953819,6.070000003091991,56.55589999514632,0.0,56.55589999514632,62.682300005690195,0,ok
sub-011_-s1,36,9477,1786791953887,6.0541999991983175,55.6432000012137,0.0,55.6432000012137,61.75640001310967,0,ok
sub-011_-s1,37,9478,1786791953894,5.992399994283915,55.74799999885727,0.0,55.74799999885727,61.79179999162443,0,ok
sub-011_-s1,38,9479,1786791953933,6.389900008798577,63.209500003722496,0.0,63.209500003722496,69.65689999924507,0,ok
sub-011_-s1,39,9480,1786791953966,6.001899993862025,51.63940000056755,0.0,51.63940000056755,57.696499992744066,0,ok
sub-011_-s1,40,9481,1786791954016,5.952200008323416,51.925599997048266,0.0,51.925599997048266,57.930700000724755,0,ok
sub-011_-s1,41,9482,1786791954046,6.026200004271232,53.05819999193773,0.0,53.05819999193773,59.157600000617094,0,ok
