response,label,n,subjects,pir_median_mean,pir_median_sd,pir_within_deviation_mean,pir_mad_mean,pir_slope_mean
1,fully task-focused,885,68,0.3304704558450313,0.06127973193917295,0.0004676395683911172,0.017079976565272503,0.00340868361025022
2,not fully task-focused: focused elsewhere,190,39,0.329620132694977,0.06681108046792418,-0.0008706735246780213,0.0190233748945038,0.0011587041204829146
3,not fully task-focused: task-unrelated thought,40,16,0.3373553915856,0.04677516159547141,-0.0029719931801945646,0.02409081275794171,2.9402446304955653e-05
4,not fully task-focused: mind blank,59,12,0.34131725538922336,0.03940691413390789,-0.002195819002195421,0.016477346651476224,-0.0005263306339293754
