epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3745.24,0.96576,0.36435,0.00709,0.94992,1,0.99277,0.71368,1.03259,0.31073,0.01274,0.0011882,0.0011882,0.0011882
43,3833.61,0.90425,0.33846,0.00661,0.98642,0.98718,0.99329,0.70941,1.04703,0.29398,0.0128,0.0011684,0.0011684,0.0011684
44,3921.03,0.92753,0.33647,0.00696,0.98432,0.96795,0.99258,0.70848,1.03127,0.32107,0.01273,0.0011486,0.0011486,0.0011486
45,4008.76,0.92047,0.34615,0.00683,0.97184,0.97436,0.99296,0.69974,1.05434,0.30772,0.01303,0.0011288,0.0011288,0.0011288
46,4096.57,0.92635,0.3431,0.00707,0.97368,1,0.9941,0.72961,0.98548,0.30624,0.01194,0.001109,0.001109,0.001109
47,4184.82,0.89165,0.33089,0.00642,0.97377,0.99359,0.99416,0.7061,1.05792,0.29798,0.01309,0.0010892,0.0010892,0.0010892
48,4272.92,0.90027,0.35249,0.00696,0.99354,0.98611,0.99242,0.69118,1.11294,0.31252,0.01379,0.0010694,0.0010694,0.0010694
49,4361.42,0.90967,0.33005,0.00663,0.9689,0.99869,0.99139,0.67622,1.19518,0.3213,0.01491,0.0010496,0.0010496,0.0010496
50,4449.32,0.92416,0.34966,0.0069,0.98109,0.99789,0.99179,0.69895,1.0834,0.29953,0.01322,0.0010298,0.0010298,0.0010298
51,4537.27,0.95673,0.3467,0.00702,0.99358,0.99155,0.99391,0.69887,1.07808,0.31321,0.01356,0.00101,0.00101,0.00101
52,4625.17,0.90747,0.31908,0.00667,0.993,0.99359,0.99263,0.71927,1.00189,0.26896,0.01229,0.0009902,0.0009902,0.0009902
53,4713.08,0.86041,0.30546,0.00628,0.98101,0.99325,0.99304,0.72763,0.97588,0.27076,0.01183,0.0009704,0.0009704,0.0009704
54,4801.03,0.86465,0.32515,0.00643,0.9865,1,0.99455,0.71103,1.07138,0.31718,0.01318,0.0009506,0.0009506,0.0009506
55,4889.2,0.8707,0.31315,0.00672,0.97765,0.98718,0.99397,0.69391,1.1197,0.30408,0.01383,0.0009308,0.0009308,0.0009308
56,4976.93,0.91517,0.31651,0.00735,0.981,0.99314,0.99429,0.72238,1.01218,0.28522,0.01229,0.000911,0.000911,0.000911
57,5065.37,0.88583,0.3481,0.00649,0.98613,0.99359,0.99336,0.70442,1.04852,0.30805,0.01287,0.0008912,0.0008912,0.0008912
58,5153.27,0.88282,0.32046,0.0065,0.98342,0.98718,0.99404,0.71365,1.03014,0.28957,0.01255,0.0008714,0.0008714,0.0008714
59,5241.03,0.83954,0.298,0.0063,0.99357,0.99084,0.99423,0.72457,1.01463,0.27847,0.01237,0.0008516,0.0008516,0.0008516
60,5329.94,0.84437,0.31222,0.00653,0.99358,0.99233,0.99468,0.68363,1.11566,0.30512,0.01378,0.0008318,0.0008318,0.0008318
61,5418.01,0.86565,0.30161,0.00665,0.97489,0.99552,0.99349,0.70704,1.05313,0.29828,0.0129,0.000812,0.000812,0.000812
